Player 0.1 0 -32.1 0.00 179.48 0.00
Golem 405 0 305 0.00 107.18 0.00
Golem 688 0 394 0.00 295.82 0.00
Golem 660 0 261 0.00 54.09 0.00
Golem 430 0 415 0.00 3.33 0.00
WarpNext 666.6 0 119.9 0.00 275.08 0.00
Healing 247 20 742.3 0.00 179.01 0.00
Healing 540 20 91.7 0.00 358.87 0.00
Golem 539 0 357 0.00 270.90 0.00
Golem 9 0 413 0.00 182.40 0.00
Golem 180 0 125 0.00 215.33 0.00
WarpBack 4 0 12 0.00 275.08 0.00
FireStone 148.9 10 372.8 0.00 179.15 0.00
Hint 0 1 -74.3 1.00 0.00 0.00
Hint 121.2 1 -6.6 2.00 180.00 0.00
Hint 0.7 1 140 6.00 180.00 0.00
Hint 0.7 1 264.2 7.00 180.00 0.00
Hint 117.4 1 398.4 5.00 298.09 0.00
Hint 191 1 415 4.00 270.00 0.00
Hint 242 1 511 3.00 180.00 0.00
Hint 242 1 677.4 8.00 180.00 0.00
Hint 540 1 607.5 9.00 0.00 0.00
Hint 602 1 123 11.00 270.00 0.00
Hint 2.3 1 -10.9 10.00 0.00 0.00
Hint 538 1 171 12.00 0.00 0.00
