Player 0 0 974 0.00 180.00 0.00
WarpNext 1 0 1012 0.00 275.08 0.00
Healing -421 15 216 0.00 88.89 0.00
Healing -441 15 871 0.00 179.15 0.00
WarpBack 0 0 -3 0.00 0.00 0.00
Lizard 123 0 506 0.00 266.51 0.00
Lizard 377 0 818 0.00 219.05 0.00
HealStone 128 10 559 0.00 179.15 0.00
IceStone 350 0 988 0.00 179.15 0.00
RockStone -293 0 561 0.00 179.15 0.00
Lizard 393 0 962 0.00 219.05 0.00
Lizard 311 0 943 0.00 154.99 0.00
Golem -73 0 238 0.00 142.04 0.00
Golem 355 0 442 0.00 359.19 0.00
Golem -269 0 604 0.00 228.51 0.00
Golem -392 0 516 0.00 314.10 0.00
Golem -313 0 508 0.00 82.06 0.00
Lizard -104 0 706 0.00 126.53 0.00
Golem 367 0 878 0.00 242.13 0.00
Golem -9 0 804 0.00 242.13 0.00
Golem 345 0 203 0.00 264.98 0.00
Golem -212 0 549 0.00 264.98 0.00
Golem -339 0 593 0.00 86.74 0.00
Golem 52 0 257 0.00 242.13 0.00
Golem 194 0 704 0.00 242.13 0.00
Golem 307 0 827.0001 0.00 242.13 0.00
Lizard 295 0 349 0.00 154.12 0.00
Lizard 72 0 586 0.00 154.12 0.00
