Player 642.6 0 122 0.00 271.68 0.00
Golem 405 0 305 0.00 107.18 0.00
Golem 688 0 394 0.00 295.82 0.00
Golem 660 0 261 0.00 54.09 0.00
Golem 545 0 460 0.00 3.33 0.00
WarpNext 666.6 0 119.9 0.00 275.08 0.00
Healing 247 20 742.3 0.00 179.01 0.00
Healing 540 20 91.7 0.00 358.87 0.00
WarpBack 2.1 0 8.7 0.00 269.37 0.00
Golem -7 0 122 0.00 23.26 0.00
Golem 406 0 442 0.00 175.14 0.00
Golem 210.3 0 417 0.00 60.20 0.00
Golem 9 0 413 0.00 60.20 0.00
Golem 0 0 242 0.00 358.99 0.00
Golem 153 0 68 0.00 324.21 0.00
FireStone 148.9 10 372.8 0.00 179.15 0.00
Golem 107 0 -56 0.00 10.74 0.00
Lizard 130 0 104 0.00 307.80 0.00
Lizard 136 0 396 0.00 64.25 0.00
Lizard 471 0 393 0.00 64.25 0.00
Lizard 612 0 321 0.00 64.25 0.00
Hint 0.7 1 140 6.00 180.00 0.00
Hint 602 1 123 11.00 270.00 0.00
Hint 121.2 1 -6.6 2.00 180.00 0.00
Hint 2.3 1 -10.9 10.00 0.00 0.00
Hint 191 1 415 4.00 270.00 0.00
Hint 538 1 171 12.00 0.00 0.00
Hint 242 1 677.4 8.00 180.00 0.00
Hint 0 1 -74.3 1.00 0.00 0.00
Hint 117.4 1 398.4 5.00 298.09 0.00
Hint 242 1 511 3.00 180.00 0.00
Hint 0.7 1 264.2 7.00 180.00 0.00
Hint 540 1 607.5 9.00 0.00 0.00
