Player 0 0 -10.4 0.00 180.00 0.00
Healing 524 15 -225 0.00 269.19 0.00
Golem -201 0 -59 0.00 180.00 0.00
Golem -415 0 15 0.00 0.00 0.00
Golem -721 0 -60 0.00 0.00 0.00
Golem -443 0 -273 0.00 273.23 0.00
Golem -767 0 -269 0.00 273.23 0.00
Healing -802.4999 15.1 133.7 0.00 270.00 0.00
Lizard -1255 0 -442 0.00 273.23 0.00
Lizard -988 0 -479 0.00 185.50 0.00
Lizard -1260 0 62 0.00 303.24 0.00
Lizard -968 0 -72 0.00 268.62 0.00
Lizard -696 0 148 0.00 317.18 0.00
Lizard -354 0 -391 0.00 176.47 0.00
Lizard -586 0 -419 0.00 214.36 0.00
Lizard -281 0 -130 0.00 214.36 0.00
Mummy -1113 0 62 0.00 26.09 0.00
Mummy -1019 0 -209 0.00 26.09 0.00
Mummy 420 0 -281 0.00 209.24 0.00
Goblin 208.7 0 -554 0.00 182.70 0.00
Mummy 180 0 -583 0.00 182.70 0.00
Mummy 265 0 -580 0.00 182.70 0.00
MineStone -1195 10 68 0.00 179.15 0.00
TrapStone -1188 10 -420 0.00 179.15 0.00
WarpBack 0 0 14.3 0.00 0.00 0.00
